npy_path,label,original_filename
Peaceful/Pillars of Eternity Soundtrack 04 - Gilded Vale (Justin Bell).npy,Peaceful,Pillars of Eternity Soundtrack 04 - Gilded Vale (Justin Bell).mp3
Fear/Guild Wars 2 OST - 33. Smodur the Unflinching.npy,Fear,Guild Wars 2 OST - 33. Smodur the Unflinching.mp3
Peaceful/Divinity Original Sin 2 OST   43 Your Tale Awaits You Down the Road.npy,Peaceful,Divinity Original Sin 2 OST   43 Your Tale Awaits You Down the Road.mp3
Action/Sousou no Frieren OST - Zoltraak  by Evan Call.npy,Action,Sousou no Frieren OST - Zoltraak  by Evan Call.mp3
Mystic/Tribal Instrumental Music-08.npy,Mystic,Tribal Instrumental Music-08.mp3
Mystic/Gothic 3 -- OST 51 'Soultravel'.npy,Mystic,Gothic 3 -- OST 51 'Soultravel'.mp3
Mysterious/Guild Wars 2 OST - 28. Straits of Devastation.npy,Mysterious,Guild Wars 2 OST - 28. Straits of Devastation.mp3
Mysterious/Assassin's Creed IV Black Flag OST - 11 - The Buccaneers.npy,Mysterious,Assassin's Creed IV Black Flag OST - 11 - The Buccaneers.mp3
Peaceful/Guild Wars 2 OST - 23. The Tengu Wall.npy,Peaceful,Guild Wars 2 OST - 23. The Tengu Wall.mp3
Peaceful/Assassin's Creed IV Black Flag OST - 11 - The Buccaneers.npy,Peaceful,Assassin's Creed IV Black Flag OST - 11 - The Buccaneers.mp3
Mysterious/Bad News Ahead Full.npy,Mysterious,Bad News Ahead Full.mp3
Mysterious/Mandela Catalogue OST #6 - The Two of Us.npy,Mysterious,Mandela Catalogue OST #6 - The Two of Us.mp3
Action/30 - The Witcher 2 Score - Violence (Extended).npy,Action,30 - The Witcher 2 Score - Violence (Extended).mp3
Mystic/Divinity Original Sin 2 OST   38 Mysterious Trails.npy,Mystic,Divinity Original Sin 2 OST   38 Mysterious Trails.mp3
Mystic/Tribal Instrumental Music-10.npy,Mystic,Tribal Instrumental Music-10.mp3
Action/Guild Wars 2 OST - 60. The Charr Triumphant.npy,Action,Guild Wars 2 OST - 60. The Charr Triumphant.mp3
Fear/Gothic 2 Soundtrack - 04 Ingame Music.npy,Fear,Gothic 2 Soundtrack - 04 Ingame Music.mp3
Action/Guild Wars 2 OST - 74. March of the Legions.npy,Action,Guild Wars 2 OST - 74. March of the Legions.mp3
Mysterious/Vampire Calm.npy,Mysterious,Vampire Calm.mp3
Mysterious/Zetsuen no Tempest - Okan.npy,Mysterious,Zetsuen no Tempest - Okan.mp3
Peaceful/Divinity Original Sin 2 OST   23 Path of the Godwoken Oud.npy,Peaceful,Divinity Original Sin 2 OST   23 Path of the Godwoken Oud.mp3
Fear/Baldur's Gate OST - Even Deeper.npy,Fear,Baldur's Gate OST - Even Deeper.mp3
Mysterious/Divinity Original Sin 2 OST   29 Fanes Theme.npy,Mysterious,Divinity Original Sin 2 OST   29 Fanes Theme.mp3
Mystic/Tribal Instrumental Music-05.npy,Mystic,Tribal Instrumental Music-05.mp3
Peaceful/Divinity Original Sin 2 OST   20 Path of the Godwoken.npy,Peaceful,Divinity Original Sin 2 OST   20 Path of the Godwoken.mp3
Mysterious/Pillars of Eternity Soundtrack 16 - Od Nua B (Justin Bell).npy,Mysterious,Pillars of Eternity Soundtrack 16 - Od Nua B (Justin Bell).mp3
Peaceful/Guild Wars 2 OST - 11. The Sea of Sorrows.npy,Peaceful,Guild Wars 2 OST - 11. The Sea of Sorrows.mp3
Fear/Mandela Catalogue - Ambient_2.npy,Fear,Mandela Catalogue - Ambient_2.mp3
Mystic/XFiles - Aerial Burial.npy,Mystic,XFiles - Aerial Burial.mp3
Mystic/Tribal Instrumental Music-06.npy,Mystic,Tribal Instrumental Music-06.mp3
Peaceful/LEGO Pirates of the Caribbean Music - Ponce de Leon.npy,Peaceful,LEGO Pirates of the Caribbean Music - Ponce de Leon.mp3
Fear/Pillars of Eternity Soundtrack 11 - Heritage Hill (Justin Bell).npy,Fear,Pillars of Eternity Soundtrack 11 - Heritage Hill (Justin Bell).mp3
Fear/In The Giant's Shadow.npy,Fear,In The Giant's Shadow.mp3
Mystic/I Name Thee Dea And Embrace Thee As My Daughter.npy,Mystic,I Name Thee Dea And Embrace Thee As My Daughter.mp3
Action/Guild Wars 2 OST - 02. The Seraph.npy,Action,Guild Wars 2 OST - 02. The Seraph.mp3
Peaceful/TES V Skyrim Soundtrack - Ancient Stones.npy,Peaceful,TES V Skyrim Soundtrack - Ancient Stones.mp3
Action/LEGO Pirates of the Caribbean Music - The Maelstrom.npy,Action,LEGO Pirates of the Caribbean Music - The Maelstrom.mp3
Mystic/Gothic 2 Soundtrack - 07 Lobards Farm.npy,Mystic,Gothic 2 Soundtrack - 07 Lobards Farm.mp3
Fear/Gothic 3 -- OST 03 'Xardas Tower Indoor'.npy,Fear,Gothic 3 -- OST 03 'Xardas Tower Indoor'.mp3
Action/TES V Skyrim Soundtrack - One They Fear.npy,Action,TES V Skyrim Soundtrack - One They Fear.mp3
Mystic/Lady of the Lake.npy,Mystic,Lady of the Lake.mp3
Mystic/Guild Wars 2 OST - 36. A Land Restored.npy,Mystic,Guild Wars 2 OST - 36. A Land Restored.mp3
Fear/Guild Wars 2 Living Story Season 2 OST - Meeting the Asura.npy,Fear,Guild Wars 2 Living Story Season 2 OST - Meeting the Asura.mp3
Mysterious/Vampire Mystery.npy,Mysterious,Vampire Mystery.mp3
Mystic/Tribal Instrumental Music-02.npy,Mystic,Tribal Instrumental Music-02.mp3
Peaceful/Pirates Of The Caribbean (Calm Ambient Mix by Syneptic)   Episode V-03.npy,Peaceful,Pirates Of The Caribbean (Calm Ambient Mix by Syneptic)   Episode V-03.mp3
Action/Blood on the Cobblestones.npy,Action,Blood on the Cobblestones.mp3
Mysterious/myszy.npy,Mysterious,myszy.mp3
Mysterious/Pillars of Eternity Soundtrack 13 - Temple of Skaen (Justin Bell).npy,Mysterious,Pillars of Eternity Soundtrack 13 - Temple of Skaen (Justin Bell).mp3
Mysterious/Guild Wars 2 Living Story Season 2 OST - Arid Vista 2.npy,Mysterious,Guild Wars 2 Living Story Season 2 OST - Arid Vista 2.mp3
Peaceful/Assassin's Creed IV Black Flag OST - 30 - The Spanish Empire.npy,Peaceful,Assassin's Creed IV Black Flag OST - 30 - The Spanish Empire.mp3
Mystic/Guild Wars 2 OST - 18. Tears of Stars.npy,Mystic,Guild Wars 2 OST - 18. Tears of Stars.mp3
Fear/Mandela Catalogue - My Guardian Angel.npy,Fear,Mandela Catalogue - My Guardian Angel.mp3
Peaceful/Assassin's Creed IV Black Flag OST - 26 - Confrontation.npy,Peaceful,Assassin's Creed IV Black Flag OST - 26 - Confrontation.mp3
Mysterious/Gothic 3 -- OST 06 'Xardas Tower Surrounding'.npy,Mysterious,Gothic 3 -- OST 06 'Xardas Tower Surrounding'.mp3
Mystic/TES V Skyrim Soundtrack - Before the Storm.npy,Mystic,TES V Skyrim Soundtrack - Before the Storm.mp3
Fear/TES V Skyrim Soundtrack - Death in the Darkness.npy,Fear,TES V Skyrim Soundtrack - Death in the Darkness.mp3
Action/Assassin's Creed IV Black Flag OST - 22 - Batten Down the Hatches.npy,Action,Assassin's Creed IV Black Flag OST - 22 - Batten Down the Hatches.mp3
Fear/06 - The Complex - James Horner - Aliens.npy,Fear,06 - The Complex - James Horner - Aliens.mp3
Fear/Gothic 3 -- OST 37 'Dungeon'.npy,Fear,Gothic 3 -- OST 37 'Dungeon'.mp3
Mysterious/Divinity Original Sin 2 OST   28 Embrace of the Deathfog.npy,Mysterious,Divinity Original Sin 2 OST   28 Embrace of the Deathfog.mp3
Action/Franek313 - Sherlock Action.npy,Action,Franek313 - Sherlock Action.mp3
Fear/Gothic 2 Soundtrack - 01 Titel Theme.npy,Fear,Gothic 2 Soundtrack - 01 Titel Theme.mp3
Peaceful/Guild Wars 2 Living Story Season 2 OST - The Arid Sands.npy,Peaceful,Guild Wars 2 Living Story Season 2 OST - The Arid Sands.mp3
Action/Guild Wars 2 OST - Here be Dragons (Game Version).npy,Action,Guild Wars 2 OST - Here be Dragons (Game Version).mp3
Peaceful/Divinity Original Sin 2 OST   05 Welcome to Fort Joy.npy,Peaceful,Divinity Original Sin 2 OST   05 Welcome to Fort Joy.mp3
Mysterious/XFiles - UFO Technology.npy,Mysterious,XFiles - UFO Technology.mp3
Peaceful/Final Fantasy Tactics OST - Alma's Theme.npy,Peaceful,Final Fantasy Tactics OST - Alma's Theme.mp3
Mysterious/XFiles - Attached.npy,Mysterious,XFiles - Attached.mp3
Mysterious/Guild Wars 2 OST - 63. Journey to the Mists.npy,Mysterious,Guild Wars 2 OST - 63. Journey to the Mists.mp3
Mystic/Pillars of Eternity Soundtrack 05 - Oldsong (Justin Bell).npy,Mystic,Pillars of Eternity Soundtrack 05 - Oldsong (Justin Bell).mp3
Fear/12 - Face Huggers - James Horner - Aliens.npy,Fear,12 - Face Huggers - James Horner - Aliens.mp3
Peaceful/Guild Wars 2 OST - 38. The Shiverpeaks.npy,Peaceful,Guild Wars 2 OST - 38. The Shiverpeaks.mp3
